Landing page,Sessions,Engaged sessions,Engagement rate,Conversions,Revenue
/,5200,4056,0.78,220,44000
/products/widget-pro/,3100,2294,0.74,180,36000
/services/,1400,924,0.66,40,8000
/category/widgets/,1100,671,0.61,22,4200
/services/seo-audit/,120,82,0.69,4,1200
/products/widget-a/,210,149,0.71,8,2200
/blog/thin-post/,80,33,0.42,1,0
/blog/old-guide/,60,19,0.33,0,0
/services/link-building/,320,224,0.70,6,1800
/resources/seo-tools/,360,259,0.72,7,2100
/services/technical-seo/,300,213,0.71,6,1700
/guides/advanced-crawl/,280,196,0.70,5,1500
/about/,90,54,0.60,2,0
/contact/,70,40,0.58,3,0
/blog/news-update/,110,68,0.62,1,0
/products/widget-b/,1600,1168,0.73,95,19000
